code,voltage,divided_voltage,divided_voltage (mV)
107,0.08701171875,0.0008701171874999999,0.8701171874999999
108,0.0878173828125,0.000878173828125,0.878173828125
109,0.088623046875,0.00088623046875,0.88623046875
110,0.0894287109375,0.0008942871093750001,0.8942871093750001
111,0.09023437499999999,0.0009023437499999999,0.9023437499999999
112,0.0910400390625,0.0009104003906249999,0.9104003906249999
113,0.091845703125,0.00091845703125,0.91845703125
114,0.0926513671875,0.000926513671875,0.926513671875
115,0.09345703125,0.0009345703125000001,0.9345703125000001
116,0.09426269531249999,0.0009426269531249999,0.9426269531249999
117,0.095068359375,0.0009506835937499999,0.9506835937499999
118,0.0958740234375,0.000958740234375,0.958740234375
119,0.0966796875,0.000966796875,0.966796875
120,0.0974853515625,0.0009748535156250001,0.9748535156250001
