,T,R,calc,error
45,-5,98.045,98.0449315920398,6.840796019957907e-05
46,-4,98.44,98.44040427509293,0.0004042750929329486
47,-3,98.83,98.83038294797689,0.0003829479768882038
48,-2,99.22,99.21875,0.0012499999999988631
49,-1,99.61,99.609375,0.0006249999999994316
50,0,100.0,100.0,0.0
51,1,100.39,100.390625,0.0006249999999994316
52,2,100.78,100.78125,0.0012499999999988631
53,3,101.17,101.1703062248996,0.0003062248996030803
54,4,101.56,101.5625,0.0024999999999977263
55,5,101.95,101.94975754310344,0.00024245689655799652
56,6,102.34,102.34004739336493,4.739336492320945e-05
57,7,102.73,102.72951244813278,0.0004875518672236012
58,8,103.12,103.11837923728814,0.001620762711866064
59,9,103.51,103.50752074688796,0.0024792531120425565
60,10,103.9,103.89997489959839,2.510040161496363e-05
61,11,104.29,104.28983671171171,0.00016328828829159647
62,12,104.68,104.68016431924883,0.0001643192488245404
63,13,105.07,105.07015306122449,0.00015306122449487702
64,14,105.46,105.45479910714286,0.005200892857132544
65,15,105.85,105.8498475609756,0.00015243902439010526
66,16,106.24,106.23972039473685,0.00027960526314529943
67,17,106.63,106.63006756756756,6.75675675694265e-05
68,18,107.02,107.02144351464435,0.00144351464435033
69,19,107.405,107.40489130434783,0.00010869565217319632
70,20,107.79,107.79025800711744,0.00025800711743784177
71,21,108.18,108.18014705882354,0.00014705882352927802
72,22,108.57,108.57007575757575,7.575757575750686e-05
73,23,108.96,108.9594414893617,0.0005585106382994809
74,24,109.35,109.34995993589743,4.0064102563519555e-05
75,25,109.735,109.73627167630057,0.0012716763005755638
76,26,110.12,110.12073863636364,0.0007386363636356919
77,27,110.51,110.51014957264957,0.0001495726495619465
78,28,110.9,110.90029761904762,0.0002976190476147167
79,29,111.285,111.28510462555066,0.00010462555066226287
80,30,111.67,111.66857798165138,0.0014220183486202131
81,31,112.06,112.0596590909091,0.00034090909090878085
82,32,112.45,112.44914940828403,0.0008505917159737919
83,33,112.835,112.83482142857143,0.00017857142856314567
84,34,113.22,113.21997549019608,2.4509803921546336e-05
85,35,113.61,113.60981308411215,0.00018691588785202384
86,36,114.0,114.00082236842105,0.0008223684210548754
87,37,114.385,114.3851902173913,0.00019021739129243542
88,38,114.77,114.7701793721973,0.00017937219730868037
89,39,115.155,115.15497967479675,2.0325203252014035e-05
90,40,115.54,115.54028614457832,0.0002861445783111094
91,41,115.925,115.92487373737373,0.00012626262626724838
92,42,116.31,116.31000905797102,9.057971013248789e-06
93,43,116.695,116.69511554621849,0.00011554621849541036
94,44,117.08,117.0799885321101,1.146788990524783e-05
95,45,117.47,117.46987951807229,0.00012048192770919286
96,46,117.86,117.86009933774834,9.933774833825737e-05
97,47,118.245,118.24508733624454,8.733624453327593e-05
98,48,118.63,118.63034909909909,0.0003490990990968612
99,49,119.015,119.01461693548387,0.00038306451612868386
100,50,119.4,119.39988938053098,0.00011061946902657382
101,51,119.785,119.78495489690722,4.5103092773501885e-05
102,52,120.17,120.17045454545455,0.00045454545454504114
103,53,120.555,120.55495689655173,4.3103448277292955e-05
104,54,120.94,120.94022925764192,0.00022925764191938924
105,55,121.34,121.337890625,0.0021093750000034106
106,56,121.74,121.74010791366906,0.00010791366906914845
107,57,122.105,122.10457785087719,0.00042214912281224315
108,58,122.47,122.47066570881226,0.0006657088122636878
109,59,122.855,122.85494942196532,5.057803468844213e-05
110,60,123.24,123.2397762345679,0.0002237654320964566
111,61,123.625,123.625,0.0
112,62,124.01,124.00987413194444,0.00012586805556225045
113,63,124.395,124.3938577586207,0.0011422413792985253
114,64,124.78,124.7799295774648,7.042253520239683e-05
115,65,125.16,125.16009221311475,9.221311475471339e-05
116,66,125.54,125.54022606382979,0.00022606382978551665
117,67,125.925,125.9251644736842,0.0001644736842081329
118,68,126.31,126.31032436708861,0.00032436708860927865
119,69,126.695,126.69516509433963,0.0001650943396356297
120,70,127.08,127.0799512987013,4.870129869516404e-05
121,71,127.46,127.45949074074075,0.0005092592592461642
122,72,127.84,127.83934471365639,0.0006552863436155576
123,73,128.225,128.2249273255814,7.267441858971324e-05
124,74,128.61,128.6100414691943,4.1469194286491984e-05
125,75,128.99,128.99116847826087,0.0011684782608654132
126,76,129.37,129.3697033898305,0.00029661016949944496
127,77,129.75,129.75,0.0
128,78,130.13,130.1292348130841,0.0007651869158848967
129,79,130.515,130.51470588235293,0.00029411764705855603
130,80,130.9,130.8998962655602,0.0001037344398184814
131,81,131.28,131.2800480769231,4.807692309327649e-05
132,82,131.66,131.65983606557376,0.00016393442624007548
133,83,132.04,132.04016159695817,0.00016159695817918873
134,84,132.42,132.4203062248996,0.00030622489961729116
135,85,132.8,132.79854910714286,0.0014508928571501656
136,86,133.18,133.18014705882354,0.00014705882352927802
137,87,133.565,133.56493340163934,6.659836066091884e-05
138,88,133.95,133.948359929078,0.0016400709219794862
139,89,134.33,134.32980371900825,0.0001962809917586128
140,90,134.71,134.70982142857144,0.00017857142856314567
141,91,135.09,135.09114583333334,0.0011458333333393966
142,92,135.47,135.47003073770492,3.0737704918237796e-05
143,93,135.85,135.85069444444446,0.0006944444444627607
144,94,136.23,136.23046875,0.0004687500000102318
145,95,136.61,136.60986498257842,0.00013501742159860441
146,96,136.99,136.99030748663102,0.0003074866310157631
147,97,137.37,137.36979166666669,0.000208333333318933
148,98,137.75,137.7505896226415,0.0005896226415131878
149,99,138.13,138.13064759036143,0.000647590361438688
150,100,138.51,138.51033834586465,0.0003383458646624149
