T,R,calc,error
9,1035.118,1035.1179534313726,4.656862734009337e-05
10,1039.02,1039.0200407608695,4.0760869524092413e-05
11,1042.911,1042.9108796296296,0.00012037037049594801
12,1046.802,1046.8017578125,0.00024218749990723154
13,1050.693,1050.6929731638418,2.6836158212972805e-05
14,1054.584,1054.584023178808,2.3178807850854355e-05
15,1058.475,1058.4749788851352,2.1114864694027347e-05
16,1062.366,1062.3658798283261,0.0001201716738705727
17,1066.257,1066.2569665605097,3.3439490380260395e-05
18,1070.148,1070.1480263157896,2.6315789682485047e-05
19,1074.039,1074.0390145705521,1.4570552139048232e-05
20,1077.93,1077.9301303854875,0.00013038548740951228
21,1081.809,1081.8093039772727,0.0003039772727788659
22,1085.688,1085.6879818281939,1.817180623220338e-05
23,1089.567,1089.5669291338584,7.086614164109051e-05
24,1093.446,1093.4457749221183,0.00022507788162329234
25,1097.325,1097.3249779151943,2.2084805777922156e-05
26,1101.204,1101.204128440367,0.0001284403670069878
27,1105.083,1105.0831011146497,0.00010111464962392347
28,1108.962,1108.9620044052863,4.405286290420918e-06
29,1112.841,1112.840909090909,9.090909088627086e-05
30,1116.72,1116.7201878834355,0.00018788343550113495
31,1120.587,1120.5870815899582,8.158995819940174e-05
32,1124.454,1124.4535297927462,0.00047020725378388306
33,1128.321,1128.320993031359,6.9686409460700816e-06
34,1132.188,1132.1880808550186,8.085501849564025e-05
35,1136.055,1136.0549428104575,5.718954253097763e-05
36,1139.922,1139.9221054572272,0.00010545722716415185
37,1143.789,1143.7889408099688,5.9190031151956646e-05
38,1147.656,1147.65625,0.0002500000000509317
39,1151.523,1151.5231092436975,0.0001092436975795863
40,1155.39,1155.3901336477988,0.00013364779874791566
41,1159.246,1159.2459700226245,2.9977375561429653e-05
42,1163.102,1163.1019467213114,5.3278688710634015e-05
43,1166.958,1166.9582528957528,0.0002528957527374587
44,1170.814,1170.8140432098764,4.320987636674545e-05
45,1174.67,1174.6700879765397,8.79765395893628e-05
46,1178.526,1178.5258746355685,0.00012536443159660848
47,1182.382,1182.3818386426592,0.00016135734085764852
48,1186.238,1186.2381872852234,0.00018728522331912245
49,1190.094,1190.093994140625,5.859375050931703e-06
50,1193.95,1193.9498546511627,0.00014534883734995674
51,1197.794,1197.7940066425122,6.6425120621715905e-06
52,1201.638,1201.6380287009063,2.8700906341327936e-05
53,1205.482,1205.4820290368273,2.9036827299933066e-05
54,1209.326,1209.3253968253969,0.0006031746031567309
55,1213.17,1213.169642857143,0.00035714285718313477
56,1217.014,1217.013888888889,0.00011111111098216497
57,1220.858,1220.8577712609972,0.00022873900275044434
58,1224.702,1224.702380952381,0.00038095238096502726
59,1228.546,1228.545906007752,9.39922481393296e-05
60,1232.39,1232.3899872448978,1.2755102261508e-05
61,1236.223,1236.22311827957,0.00011827956996057765
62,1240.056,1240.0558035714284,0.000196428571598517
63,1243.889,1243.8888283972126,0.0001716027873044368
64,1247.722,1247.7223376132931,0.0003376132931407483
65,1251.555,1251.5549150485438,8.495145630149636e-05
66,1255.388,1255.3879310344828,6.896551712998189e-05
67,1259.221,1259.221169800885,0.0001698008850326005
68,1263.054,1263.0541134185303,0.00011341853019075643
69,1266.887,1266.8872816593887,0.0002816593887473573
70,1270.72,1270.7201086956522,0.00010869565221582889
71,1274.541,1274.5408887987014,0.00011120129852315586
72,1278.362,1278.3618094900849,0.0001905099152281764
73,1282.183,1282.1830214968154,2.149681540686288e-05
74,1286.004,1286.0039406158357,5.938416416029213e-05
75,1289.825,1289.8251978891822,0.00019788918211816053
76,1293.646,1293.64596419598,3.580401994440763e-05
77,1297.467,1297.466856060606,0.00014393939409274026
78,1301.288,1301.288255899705,0.0002558997050527978
79,1305.109,1305.1086590296495,0.00034097035040758783
80,1308.93,1308.9299841772151,1.5822784916963428e-05
81,1312.739,1312.7389705882354,2.9411764671749552e-05
82,1316.548,1316.5476527149322,0.00034728506784631463
83,1320.357,1320.3573994252874,0.00039942528746905737
84,1324.166,1324.1652397260273,0.0007602739726735308
85,1327.975,1327.9747596153848,0.00024038461515374365
86,1331.784,1331.7845394736842,0.0005394736840571568
87,1335.593,1335.593120277078,0.00012027707794004527
88,1339.402,1339.4006799768517,0.0013200231483097014
89,1343.211,1343.2112068965516,0.00020689655161731935
90,1347.02,1347.0201176844785,0.0001176844784822606
91,1350.818,1350.8179667101826,3.3289817338300054e-05
92,1354.616,1354.6161609131404,0.00016091314046207117
93,1358.414,1358.4128694581282,0.0011305418718166038
94,1362.212,1362.2118919683257,0.00010803167424455751
95,1366.01,1366.0106803797469,0.0006803797468819539
96,1369.808,1369.808665143603,0.0006651436031006597
97,1373.606,1373.6056170886077,0.0003829113923075056
98,1377.404,1377.4038461538462,0.0001538461538075353
99,1381.202,1381.202362804878,0.000362804878022871
100,1385.0,1385.0,0.0
