T,R,calc,error
32,562.228,562.228045886076,4.58860760090829e-05
33,564.162,564.1622340425531,0.00023404255307468702
34,566.096,566.0960063176896,6.3176895537253586e-06
35,568.03,568.0298353909465,0.00016460905351323163
36,569.964,569.9639869888476,1.301115241858497e-05
37,571.898,571.8979779411765,2.2058823560655583e-05
38,573.832,573.8319925742574,7.425742637678923e-06
39,575.766,575.7660308441558,3.0844155844533816e-05
40,577.7,577.6999676165804,3.238341969336034e-05
41,579.628,579.6280961981568,9.619815671157994e-05
42,581.556,581.5560089020771,8.902077070160885e-06
43,583.484,583.4839876033058,1.239669427377521e-05
44,585.412,585.411995515695,4.484305009100353e-06
45,587.34,587.3400099734042,9.97340418962267e-06
46,589.268,589.2677613941019,0.0002386058981755923
47,591.196,591.1959134615385,8.653846157358203e-05
48,593.124,593.1239983974359,1.6025641116357292e-06
49,595.052,595.0520833333333,8.333333323662373e-05
50,596.98,596.9801682692307,0.00016826923069857003
51,598.902,598.9018962848297,0.00010371517032581323
52,600.824,600.8240582191781,5.821917818593647e-05
53,602.746,602.7462121212121,0.00021212121214375657
54,604.668,604.66796875,3.125000000636646e-05
55,606.59,606.5902217741935,0.00022177419350555283
56,608.512,608.5119912790698,8.720930168237828e-06
57,610.434,610.4339231927711,7.680722887926095e-05
58,612.356,612.3560855263158,8.55263158427988e-05
59,614.278,614.2780172413793,1.7241379282495473e-05
60,616.2,616.1999648876405,3.511235956921155e-05
61,618.116,618.1162587412587,0.00025874125867630937
62,620.032,620.0321210801394,0.00012108013936540374
63,621.948,621.947886297376,0.00011370262393484154
64,623.864,623.8639987244898,1.275510271625535e-06
65,625.78,625.7793017456358,0.0006982543641242955
66,627.696,627.6963495575221,0.0003495575220995306
67,629.612,629.6119592875318,4.07124681487403e-05
68,631.528,631.5280123873874,1.2387387414491968e-05
69,633.444,633.4438131313132,0.00018686868679651525
70,635.36,635.360054347826,5.4347825994227605e-05
71,637.486,637.4860491071429,4.910714289962925e-05
72,639.612,639.6122685185185,0.0002685185185100636
73,641.528,641.5281791907514,0.00017919075139616325
74,643.444,643.4439432989691,5.6701030871408875e-05
75,645.36,645.3598484848485,0.0001515151515150137
76,647.276,647.2758746355685,0.00012536443148292165
77,649.192,649.1922323759791,0.00023237597906700103
78,651.108,651.1080994897959,9.94897959571972e-05
79,652.784,652.7837030716723,0.00029692832765704225
80,654.46,654.4600238663484,2.386634832873824e-05
81,656.365,656.3648897058824,0.00011029411757590424
82,658.27,658.2700892857142,8.928571423894027e-05
83,660.175,660.1749401913876,5.9808612377310055e-05
84,662.08,662.080223880597,0.0002238805969909663
85,663.985,663.9851485148515,0.00014851485150302324
86,665.89,665.8898873390558,0.00011266094418260764
87,667.795,667.7949116492147,8.835078529045859e-05
88,669.7,669.7000519390582,5.1939058153038786e-05
89,671.605,671.6045673076923,0.0004326923077542233
90,673.51,673.5099688914027,3.1108597340789856e-05
91,675.409,675.4087936046512,0.0002063953487549952
92,677.308,677.3080583756346,5.837563458044315e-05
93,679.207,679.2069203470031,7.965299687384686e-05
94,681.106,681.1059706703911,2.9329608878470026e-05
95,683.005,683.0051369863013,0.0001369863012996575
96,684.904,684.9039968652037,3.1347963158623315e-06
97,686.803,686.8031103286385,0.00011032863847049157
98,688.702,688.7019230769231,7.692307690376765e-05
99,690.601,690.6010619777159,6.197771585902956e-05
100,692.5,692.5,0.0
