temp,value
784,2.37
785,2.374
786,2.376
787,2.383
788,2.386
789,2.39
790,2.397
791,2.398
792,2.403
793,2.409
794,2.41
795,2.417
796,2.421
797,2.424
798,2.431
799,2.433
800,2.437
801,2.444
802,2.451
803,2.456
804,2.458
805,2.465
806,2.468
807,2.472
808,2.479
809,2.485
810,2.491
811,2.492
812,2.499
813,2.503
814,2.506
815,2.513
816,2.514
817,2.52
818,2.526
819,2.527
820,2.534
821,2.538
822,2.541
823,2.548
824,2.549
825,2.555
826,2.561
827,2.562
828,2.569
829,2.572
830,2.576
831,2.583
832,2.584
833,2.59
834,2.596
835,2.597
836,2.604
837,2.607
838,2.611
839,2.618
840,2.619
841,2.625
842,2.631
843,2.632
844,2.639
845,2.642
846,2.646
847,2.653
848,2.654
849,2.66
850,2.666
851,2.667
852,2.674
853,2.677
854,2.681
855,2.688
856,2.689
857,2.696
858,2.701
859,2.703
860,2.71
861,2.712
862,2.717
863,2.724
864,2.731
865,2.736
866,2.738
867,2.746
868,2.747
869,2.753
870,2.759
871,2.76
872,2.767
873,2.77
874,2.775
875,2.782
876,2.789
877,2.794
878,2.796
879,2.803
880,2.805
881,2.811
882,2.817
883,2.818
884,2.825
885,2.829
886,2.833
887,2.84
888,2.847
889,2.852
890,2.854
891,2.862
892,2.863
893,2.869
894,2.875
895,2.876
896,2.884
897,2.887
898,2.891
899,2.898
900,2.906
901,2.91
902,2.913
903,2.921
904,2.928
905,2.933
906,2.935
907,2.943
908,2.945
909,2.95
910,2.956
911,2.958
912,2.965
913,2.968
914,2.973
915,2.98
916,2.987
917,2.991
918,2.995
919,3.002
920,3.003
921,3.01
922,3.014
923,3.017
924,3.025
925,3.026
926,3.032
927,3.037
928,3.04
929,3.047
930,3.049
931,3.055
932,3.061
933,3.062
934,3.07
935,3.072
936,3.078
937,3.084
938,3.085
939,3.093
940,3.095
941,3.1
942,3.107
943,3.108
944,3.116
945,3.119
946,3.123
947,3.13
948,3.131
949,3.138
950,3.142
951,3.146
952,3.153
953,3.154
954,3.161
955,3.165
956,3.169
957,3.176
958,3.177
959,3.184
960,3.188
961,3.192
962,3.2
963,3.207
964,3.211
965,3.215
966,3.223
967,3.23
968,3.234
969,3.238
970,3.246
971,3.254
972,3.257
973,3.261
974,3.269
975,3.277
976,3.28
977,3.285
978,3.292
979,3.3
980,3.304
981,3.308
982,3.315
983,3.316
984,3.324
985,3.327
986,3.331
987,3.338
988,3.339
989,3.347
990,3.35
991,3.355
992,3.361
993,3.363
994,3.371
995,3.373
996,3.379
997,3.384
998,3.386
999,3.394
1000,3.396
1001,3.402
1002,3.407
1003,3.41
1004,3.418
1005,3.419
1006,3.426
1007,3.43
1008,3.434
1009,3.442
1010,3.45
1011,3.453
1012,3.458
1013,3.465
1014,3.466
1015,3.474
1016,3.476
1017,3.482
1018,3.488
1019,3.49
1020,3.498
1021,3.499
1022,3.506
1023,3.511
1024,3.514
1025,3.522
1026,3.53
1027,3.534
1028,3.538
1029,3.545
1030,3.546
1031,3.554
1032,3.557
1033,3.562
1034,3.568
1035,3.57
1036,3.578
1037,3.58
1038,3.586
1039,3.591
1040,3.594
1041,3.602
1042,3.603
1043,3.61
1044,3.614
1045,3.618
1046,3.626
1047,3.634
1048,3.637
1049,3.643
1050,3.649
1051,3.651
1052,3.659
1053,3.66
1054,3.667
1055,3.672
1056,3.675
1057,3.683
1058,3.692
1059,3.694
1060,3.7
