code,voltage
276,0.2231689453124999
277,0.2239746093749999
278,0.2247802734374999
279,0.2255859374999999
280,0.2263916015625
281,0.2271972656249999
282,0.2280029296874999
283,0.2288085937499999
284,0.2296142578124999
285,0.230419921875
286,0.2312255859374999
287,0.2320312499999999
288,0.2328369140624999
289,0.2336425781249999
290,0.2344482421875
291,0.2352539062499999
292,0.2360595703124999
293,0.2368652343749999
294,0.2376708984374999
295,0.2384765625
296,0.2392822265624999
297,0.2400878906249999
298,0.2408935546874999
299,0.2416992187499999
300,0.2425048828125
301,0.2433105468749999
302,0.2441162109374999
303,0.2449218749999999
304,0.2457275390624999
305,0.246533203125
306,0.2473388671874999
307,0.2481445312499999
308,0.2489501953124999
309,0.2497558593749999
310,0.2505615234375
311,0.2513671875
312,0.2521728515624999
313,0.2529785156249999
