temp,value
1304,7.338
1305,7.34
1306,7.352
1307,7.364
1308,7.366
1309,7.376
1310,7.38
1311,7.389
1312,7.394
1313,7.401
1314,7.408
1315,7.413
1316,7.423
1317,7.425
1318,7.437
1319,7.449
1320,7.451
1321,7.461
1322,7.465
1323,7.473
1324,7.479
1325,7.485
1326,7.493
1327,7.498
1328,7.507
1329,7.51
1330,7.521
1331,7.522
1332,7.534
1333,7.535
1334,7.546
1335,7.549
1336,7.558
1337,7.563
1338,7.57
1339,7.577
1340,7.583
1341,7.591
1342,7.595
1343,7.605
1344,7.607
1345,7.619
1346,7.631
1347,7.633
1348,7.643
1349,7.647
1350,7.656
1351,7.661
1352,7.668
1353,7.676
1354,7.68
1355,7.69
1356,7.692
1357,7.704
1358,7.717
1359,7.718
1360,7.729
1361,7.732
1362,7.741
1363,7.746
1364,7.753
1365,7.76
1366,7.766
1367,7.774
1368,7.778
1369,7.788
1370,7.79
1371,7.802
1372,7.815
1373,7.816
1374,7.827
1375,7.83
1376,7.839
1377,7.844
1378,7.851
1379,7.858
1380,7.864
1381,7.872
1382,7.876
1383,7.886
1384,7.888
1385,7.9
1386,7.901
1387,7.913
1388,7.914
1389,7.925
1390,7.928
1391,7.937
1392,7.942
1393,7.95
1394,7.956
1395,7.962
1396,7.97
1397,7.974
1398,7.984
1399,7.987
1400,7.998
1401,7.999
1402,8.011
1403,8.012
1404,8.024
1405,8.026
1406,8.036
1407,8.04
1408,8.048
1409,8.054
1410,8.061
1411,8.068
1412,8.073
1413,8.082
1414,8.085
1415,8.096
1416,8.098
1417,8.11
1418,8.123
1419,8.124
1420,8.135
1421,8.138
1422,8.147
1423,8.152
1424,8.16
1425,8.166
1426,8.172
1427,8.18
1428,8.185
1429,8.194
1430,8.197
1431,8.208
1432,8.209
1433,8.222
1434,8.234
1435,8.236
1436,8.247
1437,8.25
1438,8.259
1439,8.264
1440,8.272
1441,8.278
1442,8.284
1443,8.292
1444,8.296
1445,8.306
1446,8.309
1447,8.32
1448,8.321
1449,8.334
1450,8.346
1451,8.348
1452,8.359
1453,8.362
1454,8.371
1455,8.376
1456,8.384
1457,8.39
1458,8.396
1459,8.404
1460,8.409
1461,8.417
1462,8.421
1463,8.431
1464,8.434
1465,8.445
1466,8.446
1467,8.459
1468,8.471
1469,8.473
1470,8.484
1471,8.487
1472,8.496
1473,8.501
1474,8.509
1475,8.515
1476,8.521
1477,8.529
1478,8.534
1479,8.543
1480,8.546
1481,8.557
1482,8.559
1483,8.571
1484,8.584
1485,8.585
1486,8.596
1487,8.599
1488,8.609
1489,8.613
1490,8.622
1491,8.627
1492,8.634
1493,8.64
1494,8.647
1495,8.654
1496,8.659
1497,8.668
1498,8.672
1499,8.682
1500,8.685
1501,8.696
1502,8.697
1503,8.71
1504,8.722
1505,8.724
1506,8.735
1507,8.738
1508,8.748
1509,8.752
1510,8.76
1511,8.766
1512,8.773
1513,8.779
1514,8.785
1515,8.793
1516,8.798
1517,8.807
1518,8.811
1519,8.821
1520,8.823
1521,8.835
1522,8.836
1523,8.849
1524,8.861
1525,8.863
1526,8.874
1527,8.877
1528,8.887
1529,8.891
1530,8.899
1531,8.904
1532,8.912
1533,8.918
1534,8.925
1535,8.932
1536,8.937
1537,8.946
1538,8.95
1539,8.96
1540,8.963
1541,8.974
1542,8.975
1543,8.988
1544,9.001
1545,9.002
1546,9.014
1547,9.015
1548,9.026
1549,9.029
1550,9.039
1551,9.043
1552,9.052
1553,9.057
1554,9.064
1555,9.071
1556,9.077
1557,9.085
1558,9.09
1559,9.098
1560,9.103
1561,9.112
1562,9.115
1563,9.126
1564,9.128
1565,9.14
1566,9.141
1567,9.154
1568,9.166
1569,9.168
1570,9.179
1571,9.181
1572,9.192
1573,9.195
1574,9.205
1575,9.209
1576,9.218
1577,9.223
1578,9.23
1579,9.237
1580,9.243
1581,9.25
1582,9.256
1583,9.264
1584,9.269
1585,9.278
1586,9.282
1587,9.292
1588,9.294
1589,9.306
1590,9.307
1591,9.319
1592,9.32
1593,9.333
1594,9.346
1595,9.347
1596,9.359
1597,9.361
1598,9.371
1599,9.375
1600,9.384
1601,9.388
1602,9.397
1603,9.402
1604,9.41
1605,9.416
1606,9.423
1607,9.43
1608,9.436
1609,9.444
1610,9.449
1611,9.457
1612,9.461
1613,9.471
1614,9.474
1615,9.485
1616,9.487
1617,9.499
1618,9.5
1619,9.512
1620,9.513
1621,9.526
1622,9.539
1623,9.54
1624,9.552
1625,9.554
1626,9.565
1627,9.567
1628,9.577
1629,9.581
1630,9.59
1631,9.595
1632,9.603
1633,9.609
1634,9.616
1635,9.622
1636,9.629
1637,9.636
1638,9.642
1639,9.65
1640,9.655
1641,9.663
1642,9.668
1643,9.677
1644,9.681
1645,9.691
1646,9.694
1647,9.705
1648,9.707
1649,9.718
1650,9.72
1651,9.732
1652,9.733
1653,9.746
1654,9.759
1655,9.772
1656,9.773
1657,9.785
1658,9.787
1659,9.798
1660,9.8
1661,9.811
1662,9.814
1663,9.824
1664,9.828
1665,9.837
1666,9.841
1667,9.85
1668,9.855
1669,9.863
1670,9.869
1671,9.876
1672,9.882
1673,9.889
1674,9.896
1675,9.902
1676,9.91
1677,9.915
1678,9.923
1679,9.928
1680,9.937
1681,9.941
1682,9.951
1683,9.954
1684,9.964
1685,9.967
1686,9.978
1687,9.98
1688,9.992
1689,9.993
